"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_get_prediction_image_png","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_stats_endpoint_mocked","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestStatsEndpoint","test_stats","",""
"","4","test_get_prediction_by_uid_not_found","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_get_prediction_image_uid_not_found","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"
        Test that deleting a non-existing prediction returns 404:
        - The mocked DB delete function returns None.
        ","4","test_delete_prediction_not_found","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","137","test_count_no_auth","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestAuth","test_auth","",""
"","10","test_predict_runs_yolo_and_saves_image","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestPredictEndpoint","test_predict","",""
"","5","test_get_predictions_by_score_no_results","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","5","test_get_prediction_image_file_missing","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","11","test_predict_endpoint_basic","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestPredictEndpoint","test_predict","",""
"","5","test_get_prediction_by_uid_mocked","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","4","test_delete_prediction_not_found","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_labels_endpoint","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestLabelsEndpoint","test_labels","",""
"","5","test_get_prediction_image_not_acceptable","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_get_predictions_by_label_empty","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_get_predictions_by_score","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","5","test_get_prediction_image_not_acceptable","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetImage","test_get_image","",""
"","5","test_get_prediction_image_not_found","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetImage","test_get_image","",""
"","2","test_count_with_wrong_auth","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestAuth","test_auth","",""
"","4","test_get_predictions_by_label","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","5","test_get_prediction_image_jpeg","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","4","test_prediction_count_endpoint_mocked","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","10","test_predict_with_auth_and_verify_db_insert_mocked","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestPredictEndpoint","test_predict","",""
"","12","test_predict_with_detected_object","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestPredictEndpoint","test_predict","",""
"
        Test that deleting an existing prediction works as expected:
        - The mocked DB delete function returns a mock object with file paths.
        - The endpoint should return 200 and remove files from disk.
        ","4","test_delete_prediction_success","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","6","test_count_with_auth","tests","Thu Aug 28 11:02:09 UTC 2025","passed","Thu Aug 28 11:02:09 UTC 2025","TestAuth","test_auth","",""
